name,zone,category,latitude,longitude,duration,energy,rain_ready,why,warning,official,maps,checked_at
아야 소피아 (Hagia Sophia Grand Mosque),Sultanahmet,역사/종교,41.0086,28.9802,45-60분,2,yes,비잔틴과 오스만 역사를 한 건물에서 비교할 수 있다. 술탄아흐메트 광장 안이라 다른 핵심 명소와 이동을 묶기 쉽다.,관광객 동선이 상층 중심으로 바뀌거나 공사 구조물이 시야를 가릴 수 있다. 예배 시간과 긴 보안 대기를 피해야 한다.,https://ayasofyacamii.gov.tr/en,https://www.google.com/maps/search/?api=1&query=Hagia+Sophia+Istanbul,2026-09-01
블루 모스크 (Sultan Ahmed Mosque),Sultanahmet,역사/종교,41.0054,28.9768,30-45분,2,yes,무료이며 푸른 타일과 넓은 돔을 아이도 직관적으로 느낀다. 아야 소피아와 같은 광장이라 추가 차량 이동이 없다.,"기도 시간에는 관광 입장이 중단된다. 복장, 신발 보관, 보안 줄을 준비해야 한다.",https://www.ktb.gov.tr/EN-113799/blue-mosque.html,https://www.google.com/maps/search/?api=1&query=Blue+Mosque+Istanbul,2026-09-01
예레바탄 사라이 (Basilica Cistern),Sultanahmet,역사/체험,41.0084,28.9779,45-60분,1,yes,어두운 수면과 메두사 머리가 아이에게 탐험처럼 느껴진다. 비와 추위를 피하면서 짧고 밀도 있게 볼 수 있다.,온라인 예매가 없으면 줄이 길 수 있다. 통로가 어둡고 젖어 미끄러울 수 있다.,https://yerebatan.com/en/,https://www.google.com/maps/search/?api=1&query=Basilica+Cistern+Istanbul,2026-09-01
톱카프 궁전 (Topkapı Palace),Sultanahmet,궁전/역사,41.0115,28.9834,2-2.5시간,3,yes,"하렘, 보물, 정원과 보스포루스 전망을 한 번에 본다. 아이에게 보석과 궁전 고양이를 찾는 미션을 줄 수 있다.","화요일 휴관. 자갈길, 계단, 넓은 부지 때문에 전체 관람은 피로가 크다.",https://millisaraylar.gov.tr/Lokasyon/2/Topkapi-Palace,https://www.google.com/maps/search/?api=1&query=Topkapi+Palace+Istanbul,2026-09-01
귈하네 공원 (Gülhane Park),Sultanahmet,공원/휴식,41.0137,28.981,30-60분,1,no,"톱카프 바로 옆이라 이동을 늘리지 않고 아이가 뛸 수 있다. 벤치, 넓은 길과 화장실이 있어 9명이 쉬기 쉽다.",3월에는 튤립 절정이 아닐 수 있다. 비가 오면 길과 잔디 상태가 나빠진다.,https://visit.istanbul/gulhane-park,https://www.google.com/maps/search/?api=1&query=Gulhane+Park+Istanbul,2026-09-01
돌마바흐체 궁전 (Dolmabahçe Palace),Beşiktaş,궁전/역사,41.0392,29.0005,1.5-2시간,2,yes,대형 샹들리에와 화려한 실내가 아이도 바로 이해할 볼거리다. 숙소 후보권과 가깝고 보스포루스 정원에서 쉴 수 있다.,"월요일 휴관. 내부 사진 제한과 보안, 단체 대기가 있다.",https://millisaraylar.gov.tr/Lokasyon/3/Dolmabahce-Palace,https://www.google.com/maps/search/?api=1&query=Dolmabahce+Palace+Istanbul,2026-09-01
이스탄불 모던 (Istanbul Museum of Modern Art),Karaköy/Galataport,미술관/실내,41.0259,28.9833,1.5-2시간,1,yes,비 오는 날 밝고 넓은 실내에서 쉬듯 관람할 수 있다. 갈라타포트 식사와 화장실을 바로 연결할 수 있다.,전시 교체와 휴관일을 확인해야 한다. 현대미술 관심이 낮은 아이는 60분 이후 집중력이 떨어질 수 있다.,https://www.istanbulmodern.org/en,https://www.google.com/maps/search/?api=1&query=Istanbul+Modern,2026-09-01
갈라타 타워 (Galata Tower Museum),Galata/Karaköy,전망/역사,41.0256,28.9741,외관 20분 또는 입장 60-90분,3,yes,도시를 대표하는 외관이라 짧은 산책에도 장면이 선명하다. 정상에서는 구시가지와 보스포루스를 한눈에 본다.,가파른 언덕과 긴 입장 대기. 상부가 좁고 외국인 입장료가 높다.,https://muze.gov.tr/muze-detay?sectionId=GLT04&distId=MRK,https://www.google.com/maps/search/?api=1&query=Galata+Tower+Istanbul,2026-09-01
라흐미 M. 코치 박물관 (Rahmi M. Koç Museum Istanbul),Golden Horn/Hasköy,과학/교통/어린이,41.0427,28.9486,2-3시간,2,yes,"자동차, 비행기, 기차와 선박이 6-9세 아이에게 강하게 맞는다. 실내외가 섞여 비 오는 날에도 일정 대체력이 높다.",아이 취향대로 따라가면 4시간 이상 걸릴 수 있다. 일부 체험과 차량 내부 공개 시간은 별도 확인이 필요하다.,https://rmk-museum.org.tr/istanbul/en,https://www.google.com/maps/search/?api=1&query=Rahmi+M+Koc+Museum+Istanbul,2026-09-01
그랜드 바자르 (Grand Bazaar Istanbul),Beyazıt/Old City,시장/역사,41.0107,28.968,45-90분,3,yes,거대한 역사 시장의 공간과 공예품을 한 번에 경험한다. 비 오는 날에도 지붕 아래에서 색과 물건 찾기 게임을 할 수 있다.,"9명이 흩어지기 쉽고 출구가 많다. 판매 압박, 흥정 피로, 화장실 부족을 감수해야 한다.",https://grandbazaaristanbul.org/,https://www.google.com/maps/search/?api=1&query=Grand+Bazaar+Istanbul,2026-09-01
