name,zone,category,latitude,longitude,duration,energy,rain_ready,why,warning,official,maps,checked_at
Museum of the Future,Trade Centre,박물관,25.2192,55.2822,2-3시간,2,yes,아이와 어른이 함께 몰입할 수 있는 대표 실내 일정이다.,"모든 표가 날짜와 시간 지정, 사전 예약 필요",https://museumofthefuture.ae/en/plan-your-visit,https://www.google.com/maps/search/?api=1&query=Museum%20of%20the%20Future%20Dubai,2026-08-31
Burj Khalifa At The Top,Downtown,전망,25.1972,55.2744,90분,2,yes,10시 입장으로 혼잡과 피로를 낮추기 좋다.,표는 지정 날짜와 시간에만 유효,https://ticket.atthetop.ae/tickets/book-tickets/,https://www.google.com/maps/search/?api=1&query=Burj%20Khalifa%20At%20The%20Top%20Dubai,2026-08-31
Dubai Mall,Downtown,쇼핑,25.1985,55.2796,점심 포함 2시간,2,yes,전망대와 점심을 한 건물권에서 끝낼 수 있다.,규모가 커서 목적 식당과 출입구를 미리 고정,https://thedubaimall.com/,https://www.google.com/maps/search/?api=1&query=Dubai%20Mall%20Dubai,2026-08-31
Dubai Aquarium,Downtown,수족관,25.1975,55.2793,60-90분,2,yes,Burj Khalifa 뒤에도 아이들이 더 보고 싶어 할 때만 들어갑니다.,같은 날 의무로 묶으면 아이 피로가 커짐,https://www.thedubaiaquarium.com/,https://www.google.com/maps/search/?api=1&query=Dubai%20Aquarium%20Dubai,2026-08-31
Madinat Jumeirah Abra,Jumeirah,보트,25.1339,55.1858,30-60분,1,no,Jumeirah 숙소에서 짧고 상징적인 저녁 전 일정이 된다.,더운 시간과 주말 혼잡을 피함,https://www.jumeirah.com/en/stay/dubai/madinat-jumeirah,https://www.google.com/maps/search/?api=1&query=Madinat%20Jumeirah%20Abra%20Dubai,2026-08-31
Burj Al Arab waterfront,Jumeirah,산책,25.1412,55.1853,30분,1,no,Madinat와 같은 권역에서 사진과 짧은 산책을 끝낼 수 있다.,공공 해변과 호텔 출입 규정은 다름,https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah,https://www.google.com/maps/search/?api=1&query=Burj%20Al%20Arab%20waterfront%20Dubai,2026-08-31
Al Shindagha Museum,Old Dubai,박물관,25.2689,55.2893,2-3시간,2,yes,Children’s House 중심으로 문화 일정을 아이 눈높이에 맞춥니다.,Palm 서쪽 숙소라면 왕복 차 시간이 길어 빼도 아쉽지 않음,https://alshindagha.dubaiculture.gov.ae/,https://www.google.com/maps/search/?api=1&query=Al%20Shindagha%20Museum%20Dubai,2026-08-31
Etihad Museum,Jumeirah 1,박물관,25.2413,55.2696,90분,1,yes,Old Dubai보다 짧은 실내 대안으로 쓰기 좋다.,전시 관심도가 낮으면 생략,https://etihadmuseum.dubaiculture.gov.ae/,https://www.google.com/maps/search/?api=1&query=Etihad%20Museum%20Dubai,2026-08-31
Aquaventure World,Palm,워터파크,25.1305,55.1171,최대 5시간,3,no,아이 셋에게 두바이 선택의 가장 분명한 이유다.,"1.2m 신장 제한, 구명조끼, 13세 미만 보호자 규정 확인",https://www.atlantis.com/dubai/atlantis-aquaventure/aquaventure-waterpark,https://www.google.com/maps/search/?api=1&query=Aquaventure%20World%20Dubai,2026-08-31
Lost World Aquarium (구 Lost Chambers),Palm,수족관,25.13,55.1175,60-90분,1,yes,Aquaventure가 어렵거나 바람이 강한 날 한 시간만 보는 실내 선택입니다.,운영시간과 묶음표 조건 확인,https://www.atlantis.com/atlantis-the-palm/the-lost-chambers-aquarium,https://www.google.com/maps/search/?api=1&query=Lost%20World%20Aquarium%20(%EA%B5%AC%20Lost%20Chambers)%20Dubai,2026-08-31
The Green Planet,City Walk,실내자연,25.2075,55.2627,90분,1,yes,강풍이나 피로가 큰 날의 실내 생태 대안이다.,주말 혼잡과 시간 지정표 확인,https://www.thegreenplanetdubai.com/,https://www.google.com/maps/search/?api=1&query=The%20Green%20Planet%20Dubai,2026-08-31
Kite Beach,Jumeirah,해변,25.1612,55.2073,60-90분,1,no,Jumeirah 숙소에서 짧은 야외 회복 일정으로 쓸 수 있다.,한낮 햇빛과 바람을 피하고 수영은 안전요원 구역만,https://www.visitdubai.com/en/places-to-visit/kite-beach,https://www.google.com/maps/search/?api=1&query=Kite%20Beach%20Dubai,2026-08-31
Jumeirah Zabeel Saray,Palm West,숙소,25.0986,55.1233,기준점,1,yes,공식적으로 6성인과 4아동까지 받는 정확한 4베드룸 후보다.,도심 이동이 길어 리조트 중심 일정으로 운영,https://www.jumeirah.com/en/stay/dubai/jumeirah-zabeel-saray/accommodation/four-bedroom-lagoon-royal-residences-exclusive,https://www.google.com/maps/search/?api=1&query=Jumeirah%20Zabeel%20Saray%20Dubai,2026-08-31
Jumeirah Marsa Al Arab,Jumeirah,숙소,25.1419,55.1848,기준점,1,yes,도심과 해변 이동 균형이 가장 좋은 입지 후보다.,6성인과 3아동 수용 서면 승인 필요,https://www.jumeirah.com/en/stay/dubai/jumeirah-residences-marsa-al-arab/accommodation/four-bedroom-panoramic-residence-marina-view,https://www.google.com/maps/search/?api=1&query=Jumeirah%20Marsa%20Al%20Arab%20Dubai,2026-08-31
Desert safari,Desert,제외,25.11,55.42,반일 이상,3,no,대표 경험이지만 이번 저피로 원칙과 충돌한다.,"장거리 차량, 모래길, 늦은 귀환 때문에 핵심 일정에서 제외",https://www.visitdubai.com/en/things-to-do/itineraries/desert-safari,https://www.google.com/maps/search/?api=1&query=Desert%20safari%20Dubai,2026-08-31
